Term,Definition
CIFS,"Stands for ""Common Internet File System.""  CIFS is a standard file system designed for sharing files over the Internet.  It is part of the SMB protocol, which allows multiple types of computers to share data and peripherals over a network.  CIFS enables users to access files remotely from multiple platforms, including Windows, Mac, Linux, and others."
Client,"Businesses have clients and servers have clients.  In both instances, there exists a one-to-many relationship.  Just like a business may have several clients, a server can communicate with multiple clients.  In computer networking, this is called the client-server model."
Cloud,"The term ""cloud"" comes from early network diagrams, in which the image of a cloud was used to indicate a large network, such as a WAN.  The cloud eventually became associated with the entire Internet, and the two terms are now used synonymously.  The cloud may also be used to describe specific online services, which are collectively labeled ""cloud computing."""
Cloud Computing,"Cloud computing refers to applications and services offered over the Internet.  These services are offered from data centers all over the world, which collectively are referred to as the ""cloud.""  This metaphor represents the intangible, yet universal nature of the Internet."
Cloud Waste,"Cloud waste is unnecessary spending on cloud services.  It refers to unused or underused services during one or more billing cycles, which results in ""wasted"" spending."
CMP,"Stands for ""Consent Management Platform."""
CMS,"Stands for ""Content Management System.""  A CMS is a software tool that allows you to create, edit, and publish content.  While early CMS software was used to manage documents and local computer files, most CMS systems are now designed exclusively to manage content on the Web."
Cookie,"A cookie is a small amount of data generated by a website and saved by your web browser.  Its purpose is to remember information about you, similar to a preference file created by a software application."
CORS,"Stands for ""Cross-Origin Resource Sharing.""  CORS allows scripts on webpages to request resources from other domains.  Most web browsers block these types of requests by default for security purposes."
CPA,"Stands for ""Cost Per Action."""
CPC,"Stands for ""Cost Per Click."""
CPL,"Stands for ""Cost Per Lead."""
CPM,"Stands for ""Cost Per Mille."""
Cross-Browser,"When a software program is developed for multiple computer platforms, it is called a crossplatform program.  Similarly, when a website is developed for multiple browsers, it is called a cross-browser website."
CSS,"Stands for ""Cascading Style Sheet."""
CTR,"Stands for ""Click-Through Rate."""
Cyberbullying,"There are bullies and then there are cyberbullies.  While bullying typically happens at school or work, cyberbullying takes place over cyberspace.  This includes both Internet and cell phone communication.  Like physical bullying, cyberbullying is aimed at younger people, such as children and teenagers.  It may involve harassing, threatening, embarrassing, or humiliating young people online."
Cyberspace,"""Cyberspace"" is the digital world created by computers and other network-connected devices.  It encompasses everything from local data storage to global communication over the Internet.  Whether you're viewing photos on your computer, sending an email, or browsing the web, you are operating within cyberspace."
Cybersquatter,"In the early days of the United States, pioneers traveled west and claimed federal land as their own.  These people were called ""squatters,"" since they claimed rights to the land simply by occupying it.  In the mid-1800s, during the California gold rush, squatters became especially prominent and settled land throughout the west coast."
Datagram,"Datagram is a combination of the words data and telegram.  Therefore, it is a message containing data that is sent from location to another.  A datagram is similar to a packet, but does not require confirmation that it has been received.  This makes datagrams ideal for streaming services, where the constant flow of data is more important than 100% accuracy."
Denial of Service,"A denial of service attack is an effort to make one or more computer systems unavailable.  It is typically targeted at web servers, but it can also be used on mail servers, name servers, and any other type of computer system."
DHCP,"Stands for ""Dynamic Host Configuration Protocol.""  DHCP is a protocol that automatically assigns a unique IP address to each device that connects to a network.  With DHCP, there is no need to manually assign IP addresses to new devices.  Therefore, no user configuration is necessary to connect to a DHCP-based network.  Because of its ease of use and widespread support, DHCP is the default protocol used by most routers and networking equipment."
Dial-up,"Dial-up refers to an Internet connection that is established using a modem.  The modem connects the computer to standard phone lines, which serve as the data transfer medium.  When a user initiates a dial-up connection, the modem dials a phone number of an Internet Service Provider (ISP) that is designated to receive dial-up calls.  The ISP then establishes the connection, which usually takes about ten seconds and is accompanied by several beeping an buzzing sounds."
Digital Footprint,"A digital footprint is a trail of data you create while using the Internet.  It includes the websites you visit, emails you send, and information you submit to online services."
Direct Digital Marketing,"Direct digital marketing, also known as ""DDM,"" is a type of marketing that is done exclusively through digital means.  It may be used to supplement or even replace traditional physical marketing strategies.  The primary channels of direct digital marketing include e-mail and the Web."
DKIM,"Stands for ""DomainKeys Identified Mail.""  DKIM is an email authentication technology that verifies a message was sent from a legitimate user of an email address.  It is designed to prevent email forgery or spoofing."
DNS,"Stands for ""Domain Name System."""
DNS Record,"A DNS record is a plain text entry in a zone file that contains important information about a domain, and is an important part of the Domain Name System. A domain's zone file contains multiple DNS records that help translate human-readable domain names into machine-readable IP addresses, including a domain's name server and mail server information. A DNS record can also include domain aliases for forwarding domains and subdomains."
DNSSEC,"Stands for ""Domain Name System Security Extensions.""  It is an extension of the standard domain name system (DNS), which translates domain names to IP addresses.  DNSSEC improves security by validating the authenticity of the DNS data."
DOM,"Stands for ""Document Object Model."""
Domain Name,"A domain name is a unique name that identifies a website.  For example, the domain name of the Tech Terms Computer Dictionary is ""techterms.com.""  Each website has a domain name that serves as an address, which is used to access the website."
Domain Suffix,"A domain suffix is the last part of a domain name, consisting of the final ""."" and two or more letters. A domain suffix is also known as a ""top-level domain"" or TLD. Popular domain suffixes include "".com,"" "".net,"" and "".org,"" but there are more than a thousand domain suffixes approved by ICANN."
Download,"Download can be used as either a verb or a noun.  As a verb, it refers to the process of receiving data over the Internet.  Downloading is the opposite of uploading, or sending data to another system over the Internet.  As a noun, download may refer to either a file that is retrieved from the Internet or the process of downloading a file."
Drive-By Download,A drive-by download is a download that happens automatically when you visit a webpage.  The download starts without you initiating it and may take place in the background without any notification.
Dynamic Website,"Dynamic websites contain Web pages that are generated in real-time.  These pages include Web scripting code, such as PHP or ASP.  When a dynamic page is accessed, the code within the page is parsed on the Web server and the resulting HTML is sent to the client's Web browser."
E-commerce,"E-commerce (or electronic commerce) refers to commercial activity conducted over the Internet. An e-commerce transaction occurs whenever someone buys goods or services from a business' website. An e-commerce transaction can take lots of forms, such as a person buying a piece of software that they can download, ordering a pair of shoes to be delivered, or hiring an artist to draw a picture."
E-mail Bankruptcy,"In this day and age, most of us receive several e-mails a day.  Depending on your job, you may even receive dozens of daily messages that are not spam.  While it is hard enough to keep up with this plethora of e-mails received in a single day, if you fall behind a few days, it can be nearly impossible to catch up.  After awhile, you may end up with hundreds of messages in your inbox that have not been replied to."
Edge Caching,"Edge caching is a mechanism content delivery networks (CDNs) use to cache Internet content in different locations around the world.  Examples include website data, cloud storage, and streaming media.  By storing copies of files in multiple ""edge"" locations, a CDN can deliver content to users more quickly than a single server can."
Edge Server,"An edge server is a computer located at the ""edge"" of the Internet, serving users in a specific area.  CDNs and edge computing services use edge servers to provide Internet content and computing power as fast as possible."
EDI,"Stands for ""Electronic Data Interchange."""
Email,"Email, short for ""electronic mail,"" is one of the most widely used features of the Internet, along with the web.  It allows you to send and receive messages to and from anyone with an email address, anywhere in the world."
Email Address,"An email address is a unique identifier for an email account.  It is used to both send and receive email messages over the Internet.  Similar to physical mail, an email message requires an address for both the sender and recipient in order to be sent successfully."
Email Bomb,"An email bomb or ""mail bomb"" is a malicious act in which a large number of email messages are sent to a single email address in a short period of time.  The purpose of an email bomb is typically to overflow a user's inbox.  In some cases, it will also make the mail server unresponsive."
Emoticon,"The term emoticon comes from ""emotion and icon"" and refers to facial expressions represented by keyboard characters.  For example, the emoticon :-) represents a happy face and :-( represents a sad face.  By inserting an emoticon into a message, you can help the recipient better understand the feeling you want to get across."
Extranet,"An extranet is a private intranet (or internal network) that is partially accessible over the Internet. It allows for limited and controlled access to resources on an intranet to users outside of a business or organization. Access to an extranet typically happens by visiting a web portal in a browser, and provides secure remote access to confidential information and intranet-specific applications."
Facebook,"Facebook is a social networking website that was originally designed for college students, but is now open to anyone 13 years of age or older.  Facebook users can create and customize their own profiles with photos, videos, and information about themselves.  Friends can browse the profiles of other friends and write messages on their pages."
Favicon,"A favicon is a small icon that identifies a website in a web browser.  Most browsers display a website's favicon in the left side of the address bar, next to the URL.  Some browsers may also display the favicon in the browser tab, next to the page title.  Favicons are automatically saved along with bookmarks or ""favorites"" as well."
Fios,"Stands for ""Fiber Optic Service.""  Fios is a telecommunications network owned by Verizon that uses fiber optic cables to transfer data.  It is considered a ""Fiber to the Premises,"" or FTTP service, since it brings fiber optic data transmission to residential homes as well as businesses.  Fios supports data transfer rates of 940 Mbps downstream and 880 Mbps upstream."
Firewall,"A physical firewall is a wall made of brick, steel, or other inflammable material that prevents the spread of a fire in a building.  In computing, a firewall serves a similar purpose.  It acts as a barrier between a trusted system or network and outside connections, such as the Internet.  However, a computer firewall is more of a filter than a wall, allowing trusted data to flow through it."
Flaming,"Flaming is the act of posting or sending offensive messages over the Internet.  These messages, called ""flames,"" may be posted within online discussion forums or newsgroups, or sent via e-mail or instant messaging programs.  The most common area where flaming takes place is online discussion forums, which are also called bulletin boards."
Flash,"Macromedia Flash (later Adobe Flash) was a multimedia web browser plug-in that enabled animations, video, and interactive content on websites. Flash was an extremely popular plug-in for more than a decade, but it eventually fell out of favor due to a combination of performance and security problems and the introduction of HTML5 and its multimedia features."
Fluid Layout,A fluid layout is a type of webpage design in which layout of the page resizes as the window size is changed.  This is accomplished by defining areas of the page using percentages instead of fixed pixel widths.
Friend,"A friend, in the traditional sense of the word, is a close acquaintance.  An online friend, however, is simply a person added to your list of friends on a social networking website."
Friendly URL,"A friendly URL is a Web address that is easy to read and includes words that describe the content of the webpage.  This type of URL can be ""friendly"" in two ways.  1) It can help visitors remember the Web address, and 2) it can help describe the page to search engines."
FTP,"Stands for ""File Transfer Protocol.""  FTP is a protocol designed for transferring files over the Internet.  Files stored on an FTP server can be accessed using an FTP client, such as a web browser, FTP software program, or a command line interface."
Google,"Google is the world's most popular search engine.  It began as a search project in 1996 by Larry Page and Sergey Brin, who were two Ph.D. students at Stanford University.  They developed a search engine algorithm that ranked Web pages not just by content and keywords, but by how many other Web pages linked to each page.  This strategy produced more useful results than other search engines, and led to a rapid increase in Google's Web search marketshare.  The Google ranking algorithm was later named ""PageRank"" and was patented in September of 2001.  In only a short time, Google became the number one search engine in the world."
Google Drive,"Google Drive is a service offered by Google that allows you to store and share files online.  The service was launched on April 24, 2012 and provides 5 GB of free storage.  Additional storage can be purchased for a monthly fee."
Gopher,"The Gopher technology was invented at the University of Minnesota, whose mascot is, not surprisingly, the Golden Gopher.  The gopher system allows people to search for and retrieve information using a text interface.  The technology is based on a client-server structure, where a gopher client program is used to search gopher servers.  These servers can store documents, articles, programs, and other information.  Instead of hyperlinks, the gopher interface uses menus of links to other documents and programs."
Graymail,"Graymail describes email messages that are generally unwanted, but do not fit the definition of spam.  Unlike spam, graymail includes messages from mailing lists and newsletters that you have legitimately signed up to receive.  Over time, these messages can begin to clutter your inbox and can easily be mistaken for spam."
Grid Computing,"Grid computing (also called ""distributed computing"") is a collection of computers working together to perform various tasks.  It distributes the workload across multiple systems, allowing computers to contribute their individual resources to a common goal."
Handle,"In the online world, a handle is another word for a username.  It can refer to the name you use in chat rooms, web forums, and social media services like Twitter."
Hashtag,"A hashtag is a number symbol (#) used to label keywords in a tweet.  The name ""hashtag"" was coined by Twitter and combines the word ""hash"" (another name for the number symbol) and ""tag,"" since it is used to tag certain words.  In order to tag a keyword in a Twitter post, simply type a number symbol (Shift+3) immediately before the word.  For example, you can tag the word ""tech"" in a tweet by typing ""#tech."""
Heartbleed,"Heartbleed is a security hole in OpenSSL that was discovered by the Finnish security firm Codenomicon and publicized on April 7, 2014.  OpenSSL is the encryption technology used to create secure website connections over HTTPS, establish VPNs, and encrypt several other protocols.  Since OpenSSL is used by roughly two-thirds of web servers, the vulnerability is considered one of the most significant security holes discovered since the beginning of the web."
Hit,"A hit is a metric used in website analytics.  While ""hits"" and ""visits"" are sometimes used interchangeably, they are two different things.  A visit is recorded when a user visits a webpage.  A hit is recorded for each resource that is downloaded from a web server.  Therefore, it is common for hits to outnumber visits, often by a ratio of more than 10 to 1."
Home Page,"A home page is a webpage that serves as the starting point of website.  It is the default webpage that loads when you visit a web address that only contains a domain name.  For example, visiting https://techterms.com will display the Tech Terms home page."
Honeypot,"A honeypot is a security system designed to detect and counteract unauthorized access or use of a computer system.  The name ""honeypot"" is used in reference to the way the system traps unauthorized users, such as hackers or spammers so they can be identified and prevented from causing further problems."
HTML,"Stands for ""Hypertext Markup Language.""  HTML is the language used to create webpages.  ""Hypertext"" refers to the hyperlinks that an HTML page may contain.  ""Markup language"" refers to the way tags are used to define the page layout and elements within the page."
HTML5,"HTML5 is the fifth major standard of HTML.  Development of the standard began in 2007 and HTML5 websites started becoming mainstream in 2010.  The final HTML5 standard was officially standardized by W3C on October 28, 2014."
HTTP,"Stands for ""Hypertext Transfer Protocol.""  HTTP is the protocol used to transfer data over the web.  It is part of the Internet protocol suite and defines commands and services used for transmitting webpage data."
HTTPS,"Stands for ""HyperText Transport Protocol Secure."""
Hyperlink,"A hyperlink is a bit of text, an image, or a button in a hypertext document that you can click. A hyperlink may include a link to another document or to another part of the current page. Hyperlinks are found on virtually every webpage to help navigate readers to other pages and websites."
Hypermedia,"Most Web navigation is done by clicking text-based links that open new pages in a Web browser.  These links, which are often blue and underlined, are referred to as hypertext, since they allow the user to jump from page to page.  Hypermedia is an extension of hypertext that allows images, movies, and Flash animations to be linked to other content."
Hypertext,"Hypertext is a kind of specially-formatted text that provides a link to other content. Hypertext allows system designers to organize information in a branching structure instead of a linear one. Clicking a hypertext link (called a hyperlink) will send the user to another part of the current document or a separate document entirely. Hypertext links are a fundamental building block of the Internet, allowing users to navigate in a web browser from page to page and from site to site."
IANA,"Stands for ""Internet Assigned Numbers Authority."""
ICANN,"Stands for ""Internet Corporation for Assigned Names and Numbers."""
ICF,"Stands for ""Internet Connection Firewall.""  ICF is a Windows XP feature that protects computers connected to the Internet from unauthorized access.  When ICF is enabled, Windows keeps a log of incoming requests from other systems on the Internet.  If the request is something the user has requested, like a Web page, the transmission will not be affected.  However, if the request is unsolicited and is not recognized by the system, the transmission will be dropped.  This helps prevent intrusion by hackers or malicious software such as spyware."
iCloud,"iCloud is an online service provided by Apple.  It provides an email account, online storage, and backup services.  It also allows you to share data between devices, such as Macs, iPhones, and iPads."
ICMP,"Stands for ""Internet Control Message Protocol."""
ICQ,"ICQ is a popular online messaging program.  It is similar to instant messaging programs like AIM and Yahoo! Messenger, but allows users to enter chat rooms and chat with multiple users at one time.  Therefore, ICQ (which is short for ""I seek you"") is more of a community-oriented chat program than other messaging programs."
ICS,"Stands for ""Internet Connection Sharing."""
ICT,"Stands for ""Information and Communication Technologies.""  ICT refers to technologies that provide access to information through telecommunications.  It is similar to Information Technology (IT), but focuses primarily on communication technologies.  This includes the Internet, wireless networks, cell phones, and other communication mediums."
Iframe,"An iframe (short for inline frame) is an HTML element that allows an external webpage to be embedded in an HTML document.  Unlike traditional frames, which were used to create the structure of a webpage, iframes can be inserted anywhere within a webpage layout."
IIS,"Stands for ""Internet Information Services.""  IIS is a web server software package designed for Windows Server.  It is used for hosting websites and other content on the Web."
IM,"Stands for ""Instant Message."""
IMAP,"Stands for ""Internet Message Access Protocol."""
Impression,"Impressions track how many times a webpage or element on a webpage is viewed.  It is one of the standard metrics used in website analytics software.  The term ""impressions"" most often refers to page impressions, which is synonymous with page views.  Each time a page is viewed, a page impression is counted.  Therefore, a single visitor can rack up multiple impressions on a website by visiting multiple pages."
Inbox,"An inbox is the main folder that your incoming mail gets stored in.  Whether you check your mail through a webmail interface or use a program like Outlook or Mac OS X Mail, each downloaded message gets stored in your inbox."
Influencer,"An influencer is a person who promotes products, services, or events via social media.  Common platforms include Instagram, Twitter, and YouTube.  Paying influencers to promote brands is a popular means of social media marketing."
Instagram,"Instagram is an online photo sharing service.  It allows you to apply different types of photo filters to your pictures with a single click, then share them with others.  While is a rather basic service, Instagram's simplicity has helped it gain widespread popularity."
Internet,"The Internet is a global wide area network that connects computer systems across the world.  It includes several high-bandwidth data lines that comprise the Internet ""backbone.""  These lines are connected to major Internet hubs that distribute data to other locations, such as web servers and ISPs."
Internet of Things,"The Internet of Things, commonly abbreviated ""IoT,"" is an umbrella term that refers to anything connected to the Internet.  It includes traditional computing devices, such as laptops, tablets, and smartphones, but also includes a growing list of other devices that have recently become Internet enabled.  Examples include home appliances, automobiles, wearable electronics, security cameras, and many other things."
InterNIC,"Stands for ""Internet Network Information Center."""
IP,"Stands for ""Internet Protocol.""  IP provides a standard set of rules for sending and receiving data over the Internet.  It allows devices running on different platforms to communicate with each other as long as they are connected to the Internet."
IP Address,"An IP address, or simply an ""IP,"" is a unique address that identifies a device on the Internet or a local network.  It allows a system to be recognized by other systems connected via the Internet protocol.  There are two primary types of IP address formats used today — IPv4 and IPv6."
IPsec,"Stands for ""Internet Protocol Security."""
IPv4,"IPv4 is the most widely used version of the Internet Protocol.  It defines IP addresses in a 32-bit format, which looks like 123.123.123.123.  Each three-digit section can include a number from 0 to 255, which means the total number of IPv4 addresses available is 4,294,967,296 (256 x 256 x 256 x 256 or 2^32)."
IPv6,"Stands for ""Internet Protocol version 6."""
IRC,"Stands for ""Internet Relay Chat.""  IRC is a service that allows people to chat with each other online.  It operates on a client/server model where individuals use a client program to connect to an IRC server.  Popular IRC clients include mIRC for Windows and Textual for OS X.  Several web-based clients are also available, including KiwiIRC and Mibbit."
iSCSI,"Stands for ""Internet Small Computer Systems Interface.""  iSCSI is an extension of the standard SCSI storage interface that allows SCSI commands to be sent over an IP based network.  It enables computers to access hard drives over a network the same way they would access a drive that is directly connected to the computer."
ISDN,"Stands for ""Integrated Services Digital Network.""  ISDN is a telecommunications technology that enables the transmission of digital data over standard phone lines.  It can be used for voice calls as well as data transfers."
ISP,"Stands for ""Internet Service Provider.""  An ISP provides access to the Internet.  Whether you're at home or work, each time you connect to the Internet, your connection is routed through an ISP."
JavaScript,"JavaScript is a programming language commonly used in web development.  It was originally developed by Netscape as a means to add dynamic and interactive elements to websites.  While JavaScript is influenced by Java, the syntax is more similar to C and is based on ECMAScript, a scripting language developed by Sun Microsystems."
Jitter,"Jitter, in networking, refers to small intermittent delays during data transfers.  It can be caused by a number of factors including network congestion, collisions, and signal interference."
jQuery,"jQuery is a JavaScript library that allows web developers to add extra functionality to their websites.  It is open source and provided for free under the MIT license.  In recent years, jQuery has become the most popular JavaScript library used in web development."
JSF,"Stands for ""JavaServer Faces.""  JSF is a framework that allows Web developers to build user interfaces for JavaServer applications.  It is supported by Web servers running Java Enterprise Edition (Java EE)."
JSP,"Stands for ""Jakarta Server Pages,"" (formerly Java Server Pages)."
JWT,"Stands for ""JSON Web Token."""
Keep-Alive,Keep-Alive is an HTTP header that allows a web server to use a single connection for multiple requests from a web browser.  Servers running HTTP/1 often have keep-alive turned on to improve website performance.  The keep-alive header is not used in HTTP/2 since it is the default behavior of the HTTP/2 protocol.
Lag,"Lag is a slow response from a computer.  It can describe any device that responds slower than expected, though it is most often used in online gaming."
LAMP,"Stands for ""Linux, Apache, MySQL, and PHP.""  Together, these software technologies can be used to create a fully-functional web server."
Landing Page,"A landing page is an informational or promotional webpage a user ""lands on"" after clicking a link.  Most online advertisements link to a landing page that corresponds with the content of the ad."
Lazy Loading,"Lazy loading is a programming technique that delays loading resources until they are needed.  A common example is a webpage that defers loading images until the user scrolls to their location within the page.  Lazy loading is used on the web and in software programs, such as mobile and desktop applications."
LDAP,"Stands for ""Lightweight Directory Access Protocol."""
Lead,"Lead (pronounced ""leed"") is a marketing term that describes a connection made with a potential customer or client.  The goal of most online advertising is to generate leads, which may ""lead"" to sales or subscriptions for a company or organization."
Leaderboard,"A leaderboard ad is a wide advertisement that appears at the top of a web page before any of the page's content. It is one of the standard sizes used across all Internet advertising platforms. It has a standard size of 728 pixels wide by 90 pixels tall (728x90). Leaderboard ads can be either text-based or image-based, with images being more popular. They may even include animations. Clicking a leaderboard ad directs the visitor to a landing page set by the advertiser."
Leet,"Leet, or leetspeak, is a method of typing words using alternate characters.  Letters are replaced with numbers or symbols that closely resemble them.  For example, the letter ""a"" might be replaced with the @ symbol and the letter ""E"" might be replaced with the number 3.  The word ""leet"" can be written as ""1337."""
Link,A link (short for hyperlink) is an HTML object that allows you to jump to a new location when you click or tap it.  Links are found on almost every webpage and provide a simple means of navigating between pages on the web.
